il,ilce,konut_satis_sayisi
İstanbul,Adalar,324
İstanbul,Arnavutköy,4040
İstanbul,Ataşehir,6888
İstanbul,Avcılar,6639
İstanbul,Bağcılar,3897
İstanbul,Bahçelievler,8082
İstanbul,Bakırköy,3449
İstanbul,Başakşehir,9044
İstanbul,Bayrampaşa,3656
İstanbul,Beşiktaş,2701
İstanbul,Beykoz,560
İstanbul,Beylikdüzü,11864
İstanbul,Beyoğlu,2260
İstanbul,Büyükçekmece,6214
İstanbul,Çatalca,734
İstanbul,Çekmeköy,5082
İstanbul,Esenler,2962
İstanbul,Esenyurt,40545
İstanbul,Eyüp,4923
İstanbul,Fatih,4418
İstanbul,Gaziosmanpaşa,5701
İstanbul,Güngören,2830
İstanbul,Kadıköy,7575
İstanbul,Kağıthane,6562
İstanbul,Kartal,8215
İstanbul,Küçükçekmece,9619
İstanbul,Maltepe,7460
İstanbul,Pendik,10654
İstanbul,Sancaktepe,9890
İstanbul,Sarıyer,2540
İstanbul,Silivri,4170
İstanbul,Sultanbeyli,1092
İstanbul,Sultangazi,5923
İstanbul,Şile,747
İstanbul,Şişli,4432
İstanbul,Tuzla,7460
İstanbul,Ümraniye,8882
İstanbul,Üsküdar,4929
İstanbul,Zeytinburnu,2804
